"","AU","TI","Screen1_Assessed","Screen1_MissingDetails","Screen1_GoldStar","Screen1_Reject","Screen1_RejectNOTEntreP","Screen1_VaguelyRelevent","Screen1_Women","Screen1_EntreP","Screen1_EAfrica","Screen1_Example","Screen1_Notes"
"764","Okeigwe I;Marsh Ee","Disparate ivf outcomes and the role of uterine and oocyte factors",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"765","Okewole H;Merritt C;Mangezi W;Mutiso;Victoria V;Jack He;Eley Tc;Abas M","Building career development skills for researchers: a qualitative study across four african countries",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"766","Okoye D;Pongou R","Missions, fertility transition, and the reversal of fortunes: evidence from border discontinuities in the emirates of nigeria",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"767","Oku A","Africanfuturism and the reframing of gender in the fiction of nnedi okorafor",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"768","Okumu M;Logie Ch;Ansong D;Mwima S;Hakiza R;Newman Pa","Exploring the protective value of using sexting for condom negotiation on condom use determinants and practices among forcibly displaced adolescents in the slums of kampala, uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"769","Oladele-Emmanuel Bd;Ben Rejeb H;Redlich;Tobias T","Strategic management: swot analysis of the african digital fabrication laboratories",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"fablabs= space for innovation therefore entrepreneurship?  "
"770","Olakkengil M;Said S;Abdalla O;Hofmann;Rachel R;Hedt-Gauthier B;Fulcher I","Are populations of postpartum women differentially served by community health worker programs: an observational cohort study from zanzibar, tanzania",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"771","Olatokun Wm","Gender and national ict policy in africa: issues, strategies, and policy options",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"772","Omotoso O;Teibo Jo;Atiba Fa;Oladimeji T;Paimo Ok;Ataya Fs;Batiha Ges;Alexiou A","Addressing cancer care inequities in sub-saharan africa: current challenges and proposed solutions",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"773","Ondari-Okemwa Em","Information-seeking behaviour of users in the digital libraries' environment in sub-saharan africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"774","Ong M;Smith Jm;Ko Lt","Counterspaces for women of color in stem higher education: marginal and central spaces for persistence and success",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"775","Ong M;Wright C;Espinosa Ll;Orfield G","Inside the double bind: a synthesis of empirical research on undergraduate and graduate women of color in science, technology, engineering, and mathematics",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"776","Orkoh E;Viviers W","Gender composition of ownership and management of firms and the gender digital divide in africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"is ""ownership and management of firms"" = a form of entrepreneurship?? "
"777","Orobia La;Padachi K;Munene Jc","Why some small businesses ignore austere working capital management routines",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"778","Orr A","`green gold'?: burley tobacco, smallholder agriculture, and poverty alleviation in malawi",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"779","Orr A;Weltzien E;Rattunde F","Research and development for sorghum and millets in sub-saharan africa: what have we learned?",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"780","Ostermann J;Njau B;Van Zwetselaar M;Yamanis;Thespina T;Mcclimans L;Mwangi R;Beti M;Hobbie A;Gass Sj;Mtuy T;Thielman N","Mobile phone-based confidential social network referrals for hiv testing (consort): protocol for a randomized controlled trial",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"781","Otiso L;Steege R;Njoroge I;Okoth L;Tubb P;Nyothach E;Phillips-Howard Pa;Theobald S;Taegtmeyer M","Safeguarding in practice: anticipating, minimising and mitigating risk in teenage pregnancy research in urban informal settlements in nairobi, kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"782","Ouya Fo;Bett E;Nguhiu P;Makokha;Stella S;Mwirigi Mk","Agro pastoralists' awareness and knowledge on contagious caprine pleuropneumonia in two selected counties in kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"783","Owusu V;Donkor E;Owusu-Sekyere E","Accounting for the gender technology gap amongst smallholder rice farmers in northern ghana",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"784","Ozella L;Paolotti D;Lichand G;Rodriguez Jp;Haenni S;Phuka J;Leal-Neto;Onicio B. Ob;Cattuto C","Using wearable proximity sensors to characterize social contact patterns in a village of rural malawi",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"785","Ozoegwu Cg;Akpan Pu","A review and appraisal of nigeria?S solar energy policy objectives and strategies against the backdrop of the renewable energy policy of the economic community of west african states",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"786","Palid O;Cashdollar S;Deangelo S;Chu C;Bates M","Inclusion in practice: a systematic review of diversity-focused stem programming in the united states",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"787","Palumbo Lb","Mobile phones in africa: opportunities and challenges for academic librarians",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"788","Pamuk H;Van Asseldonk M;Wattel C;Ng'ang'a;Stanley Karanja Sk;Hella Jp;Ruben R","Community-based approaches to support the anchoring of climate-smart agriculture in tanzania",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"789","Panojan P;Perera Baks;Dilakshan R","Work-life balance of professional quantity surveyors engaged in the construction industry",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"790","Park E","`human atms': m-pesa and the expropriation of affective work in safaricom's kenya",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not about mobile money directly but talks about mpesa "
"791","Parrot L;Biard Y;Klaver D;Kabre E;Vanniere H","Slicing the fruit five ways: an economic, social, and environmental assessment of five mango food supply chains in burkina faso",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"792","Parthiban R;Jaikumar S;Basak J;Bandyopadhyay S","Digital access through smartphones and well-being of bop women: insights from a field study in india",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"about india but talks about the intersection of accesses of ict and digital technology and how it promots entreprenurship "
"793","Pashapa T;Rivett U","Gender of household head and the digital divide in south africa's settlements",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"794","Patricio Ar;Varela Mr;Barbosa C;Broderick Ac;Catry P;Hawkes La;Regalla;Aissa A;Godley Bj","Climate change resilience of a globally important sea turtle nesting population",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"795","Patterson L;Varadarajan Ds;Saji Salim;Beena B","Women in stem/set: gender gap research review of the united arab emirates (uae) - a meta-analysis",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"796","Payumo Jg;Monson J;Jamison A;Fenwick B;W. W","Metrics-based profiling of university research engagement with africa: research management, gender, and internationalization perspective",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"797","Pei X;Chib A;Ling R","Covert resistance beyond \#metoo: mobile practices of marginalized migrant women to negotiate sexual harassment in the workplace",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"798","Peimani N;Kamalipour H","Informal street vending: a systematic review",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"systematic review example "
"799","Pello K;Okinda C;Liu A;Njagi T","Factors affecting adaptation to climate change through agroforestry in kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"800","Pentz Cd;Du Preez R;Swiegers L","To bu(y) or not to bu(y): perceived risk barriers to online shopping among south african generation y consumers",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"801","Perez-Felkner L;Mcdonald Sk;Schneider B","What happens to high-achieving females after high school? Gender and persistence on the postsecondary stem pipeline",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"802","Perez-Stable Ej;Rodriquez Ej","Uniting the vision for health equity through partnerships: the 2nd annual dr. Elijah saunders \& dr. Levi watkins memorial lecture",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"803","Perros T;Buttner P;Leary J;Parikh P","Pay-as-you-go lpg: a mixed-methods pilot study in urban rwanda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"804","Petersen F;Luckan Z;Pather S","Impact of demographics on patients' acceptance of ict for diabetes self-management: applying the utaut model in low socio-economic areas",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"805","Pfafman Tm;Carpenter Cj;Tang Y","The politics of racism: constructions of african immigrants in china on chinasmack",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"806","Phillip E;Langevin J;Davis M;Kumar N;Walsh A;Jumbe V;Clifford M;Conroy;Ronan R;Stanistreet D","Improved cookstoves to reduce household air pollution exposure in sub-saharan africa: a scoping review of intervention studies",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"807","Phillips Kd","Prelude to a grid energy, gender and labour on an electric frontier",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"808","Pimmer C;Chipps J;Brysiewicz P;Walters F;Linxen S;Grohbiel U","Supervision on social media: use and perception of facebook as a research education tool in disadvantaged areas",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"809","Pinardi S;Salis M;Sartor G;Meo R","Eu-africa: digital and social questions in a multicultural agroecological transition for the cocoa production in africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"810","Pinchoff J;Austrian K;Rajshekhar N;Abuya;Timothy T;Kangwana B;Ochako R;Tidwell J;Benjamin B;Mwanga D;Muluve E;Mbushi F;Nzioki M;Ngo Td","Gendered economic, social and health effects of the covid-19 pandemic and mitigation policies in kenya: evidence from a prospective cohort survey in nairobi informal settlements",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"811","Pitcan M;Marwick Ae;Boyd D","Performing a vanilla self: respectability politics, social class, and the digital world",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"812","Porter C;Favara M;Hittmeyer A;Scott;Douglas D;Jimenez As;Ellanki R;Woldehanna;Tassew T;Duc Lt;Craske Mg;Stein A","Impact of the covid-19 pandemic on anxiety and depression symptoms of young people in the global south: evidence from a four-country cohort study",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"813","Porter G;Hampshire K;Abane A;Munthali A;Robson E;De Lannoy A;Tanle A;Owusu S","Mobile phones, gender, and female empowerment in sub-saharan africa: studies with african youth",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"814","Potterton J;Strehlau R;Shiau S;Comley-White N;Kuhn L;Yin M;Arpadi;Stephen S","Evaluation of submaximal endurance in young children living with hiv",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"815","Potts Wm;Inacio La;Santos Cv;Richardson Tj;Sauer Whh","Aspects of the biology and fisheries of an economically important sparid dentex macrophthalmus (bloch 1791) in the namibe province, angola",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"816","Pretty J;Toulmin C;Williams S","Sustainable intensification in african agriculture",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"817","Prikhodko D;Sherov-Ignatiev Vg","Digital economy in africa: condition and problems of development",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"818","Pudasaini R;Raizada Mn","Nodule crushing: a novel technique to decentralize rhizobia inoculant technology and empower small-scale farmers to enhance legume production and income",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"small-scale farmers are entrepreneurs... right?"
"819","Qadir M;Jimenez Gc;Farnum Rl;Trautwein P","Research history and functional systems of fog water harvesting",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"820","Qoseem Io;Okesanya Oj;Olaleke;Noah Olabode No;Ukoaka Bm;Amisu B;Olawunmi O;Ogaya Jb;Lucero-Prisno Iii De","Digital health and health equity: how digital health can address healthcare disparities and improve access to quality care in africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"821","Quagrainie Fa;Ariwa E","Effective deployment of digital technologies for business enterprise in sub-sahara africa: implications for women entrepreneurs e-readiness for internet usage in ghana?",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"822","Quarshie An;Nkansah Gb;Oduro-Ofori;Eric E","How far is progress? Gender dimensions of student enrollment in higher education in ghana: the case of kwame nkrumah university of science and technology",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"823","Quarshie Pt;Antwi-Agyei P;Suh Nn;Fraser Edg","Tackling post-covid-19 pandemic food crises through the adoption of improved maize seeds and technologies by smallholder farmers: the case of ejura sekyeredumase in ghana",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"824","Quaye W;Akon-Yamga G;Akuffobea-Essilfie M;Onumah Ja","Technology adoption, competitiveness and new market access among smes in ghana: what are the limiting factors?",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"825","Rahman Na;Larbi A;Kotu B;Kizito;Fred F;Hoeschle-Zeledon I","Evaluating sustainable intensification of groundnut production in northern ghana using the sustainable intensification assessment framework approach",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"826","Rahman W;Lee S;Islam Ms;Antony V;Nikhil N;Ratnu H;Ali Mr;Al Mamun;Abdullah A;Wagner E;Jensen-Roberts S;Waddell E;Myers T;Pawlik M;Soto J;Coffey;Madeleine M;Sarkar A;Schneider R;Tarolli;Christopher C;Lizarraga K;Adams J;Little Ma;Dorsey Er;Hoque E","Detecting parkinson disease using a web-based speech task: observational study",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"827","Rajan P","Making when ends don't meet: articulation work and visibility of domestic labor during do-it-yourself (diy) innovation on the margins",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"828","Rajshekhar N;Pinchoff J;Boyer Cb;Barasa E;Abuya T;Muluve E;Mwanga D;Mbushi F;Austrian K","Exploring covid-19 vaccine hesitancy and uptake in nairobi's urban informal settlements: an unsupervised machine learning analysis of a longitudinal prospective cohort study from 2021 to 2022",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"829","Ralls K","Collecting cultural feedback on ethiopian views on girls, sport, and voice",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"830","Ramokobala E","Girls and online safety: keep your chats exactly that!",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"831","Rashid Fn;Sesabo Jk;Lihawa R;Michael M;Mkuna E","Determinants of household food expenditure in tanzania: implications on food security",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"832","Razavi Ns;Adeniyi-Ogunyankin G;Basu S;Datta A;De Souza K;Ip Ptt;Koleth;Elsa E;Marcus J;Miraftab F;Mullings B;Nmormah S;Odunola B;Burgoa Sp;Peake L","Everyday urbanisms in the pandemic city: a feminist comparative study of the gendered experiences of covid-19 in southern cities",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"833","Reaves Ta;Anderson-Thomas M","Recruitment process that attracts underrepresented students in graduate science and medical education programs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"834","Reddy V;Gastrow M;Juan A;Roberts B","Public attitudes to science in south africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"835","Reid A;Maclean R","Symbolism and the social contexts of iron production in karagwe",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"836","Reisner Sl;Chaudhry A;Cooney E;Garrison-Desany H;Juarez-Chavez E;Wirtz Al","`it all dials back to safety': a qualitative study of social and economic vulnerabilities among transgender women participating in hiv research in the usa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"837","Reynolds Tw;Biscaye Pe;Anderson Cl;O'brien-Carelli C;Keel J","Exploring the gender gap in mobile money awareness and use: evidence from eight low and middle income countries",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"838","Rhodes J","A strategic framework for rural micro-enterprise development: the integration of information communication technology (ict), e-commerce, marketing, and actor-network theory",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"839","Richardson-Ngwenya P;Fernandez R;Restrepo Mj;Kaufmann Ba","Experience with participatory video proposals: assisting community organisations with innovation project planning",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"840","Richardson-Ngwenya P;Hoehne M;Kaufmann B","Participatory problem analysis of crop activities in rural tanzania with attention to gender and wealth: `setting the scene' to enhance relevance and avoid exclusion in pro-poor innovation projects",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"841","Richmond Rl;Lee Wh;Lin S;Obol J;Henry H;Akera P;Menezes G;Hyslop F;Awor;Agnes A;Sevenska Ms;Ojara P;Melik A;Geofrey G;Oceng D;Acaye L;Ayero P;Ayeerwot R;Dandgaval R;Bence E;Black E;Clarke S;Fry H;Worth H","Comparing factors associated with intimate partner violence among rural and urban women in northern uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"842","Riley E","Resisting social pressure in the household using mobile money: experimental evidence on microenterprise investment in uganda",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"843","Ripoll S;Andersson J;Badstue L;Buttner;Marion M;Chamberlin J;Erenstein O;Sumberg J","Rural transformation, cereals and youth in africa: what role for international agricultural research?",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"""technology and entrepreneurship will unlock a sweet spot for youth employment"" "
"844","Ritchie Ha","An institutional perspective to bridging the divide: the case of somali women refugees fostering digital inclusion in the volatile context of urban kenya",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"what does ""institutional entrepreneurs'"" mean? "
"845","Romdhani Sb;Djemali A","Estimation of sheep carcass traits by ultrasound technology",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"846","Ronner E;Descheemaeker K;Almekinders C;Ebanyat P;Giller Ke","Co-design of improved climbing bean production practices for smallholder farmers in the highlands of uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"847","Rosa K","Science identity possibilities: a look into blackness, masculinities, and economic power relations",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"848","Rosati D;Ponce Ir;Omosa-Manyonyi Gs;Bruno M;Kamau Nw;Jaeger M;Kumar V;Netea Mg;Van Der Ven Ajam;Ten Oever J","Plasma inflammatory proteome profile in a cohort of patients with recurrent vulvovaginal candidiasis in kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"849","Rothstein Jd;Klemm R;Niyeha D;Smith E;Nordhagen S","Assessing the challenges to women's access and implementation of text messages for nutrition behaviour change in rural tanzania",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"850","Ruggajo P;Leh S;Svarstad E;Marti;Hans-Peter Hp;Vikse Be","Low birth weight associates with glomerular area in young male iga nephropathy patients",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"851","Rumanyika J;Tedre M;Apiola M;Oyelere S;Sunday S;Mramba Nr","Contemporary challenges in street trader-customer interaction through mobile devices in dodoma, tanzania",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"852","Russworm Tam;Holmes C","The breakdown: black culture, video games, and the importance of adult play a conversation between treaandrea m. Russworm and cicero holmes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"853","Rutaisire J","Innovations in technology for educational marketing: stakeholder perceptions and implications for examinations system in rwanda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"854","Rutayisire E;Habtu M;Ngomi N;Mochama;Monica M;Mbayire V;Ntihabose C;Muhire;Philbert P","Magnitude and determinants of food insecurity among pregnant women in rwanda during the covid-19 pandemic",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"855","Sabir S;Qamar U;Sabir S;Ahmed T;Ali M","A preconception gender assessment using data mining techniques based on implementation of natural laws \& favoring factors",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"856","Saha P;Nowsher N;Baidya Au;Mim;Nusrat Jahan Nj;Ahmed Si;Haque Smt","Computing and the stigmatized: trust, surveillance, and spatial politics with the sex workers in bangladesh",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"857","Salamandane A;Malfeito-Ferreira M;Brito L","The socioeconomic factors of street food vending in developing countries and its implications for public health: a systematic review",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"systematic review"
"858","Salimpour S;Bartlett S;Fitzgerald Mt;Mckinnon Dh;Cutts Kr;James Cr;Miller;Scott S;Danaia L;Hollow Rp;Cabezon S;Faye M;Tomita A;Max C;De Korte M;Baudouin C;Birkenbauma D;Kallery M;Anjos S;Wu Q;Chu H;Slater E;Ortiz-Gil A","The gateway science: a review of astronomy in the oecd school curricula, including china and south africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"859","Sallah Ca;Caesar Ld","Intangible resources and the growth of women businesses empirical evidence from an emerging market economy",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"860","Samiji Me;Mohammed Nk","Outreach activities: physics department, university of dar es salaam, tanzania",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"861","Samkange F;Ramkissoon H;Chipumuro J;Wanyama H;Chawla G","Innovative and sustainable food production and food consumption entrepreneurship: a conceptual recipe for delivering development success in south africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"862","Sanginga Pc;Kaaria S;Muzira R;Delve;Robert R;Njuki J;Vanlauwe B;Chiarm J;Sanginga N","The resources-to-consumption system: a framework for linking soil fertility management innovations to market opportunities",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"863","Sanya Bn;Odero Pw","Feminist articulations, social literacies, and ubiquitous mobile technology use in kenya",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"864","Saracoglu Ds;Memis E;Voyvoda E;Kizilirmak B","Changes in global trade patterns and women's employment in manufacturing, 1995-2011",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"865","Sarfraz Z;Sarfraz A;Mehak O;Akhund R;Bano S;Aftab H","Racial and socioeconomic disparities in triple-negative breast cancer treatment",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"866","Sarkar S","Beyond the ``digital divide'': the ``computer girls'' of seelampur",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"867","Schelleman-Offermans K;Dito Bb;Gudeta Kh;Fourie E;Kebede Sw;Mazzucato V;Jonas Kj","Socio-economic inequities in mental health problems and wellbeing among women working in the apparel and floriculture sectors: testing the mediating role of psychological capital, social support and tangible assets",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"868","Schiffer A;Greene M;Khalid R;Foulds C;Vidal C;Chatterjee M;Dhar-Bhattacharjee;Sunrita S;Edomah N;Sule O;Palit D;Yesutanbul A","Brokering gender empowerment in energy access in the global south",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"869","Sebola Br","What it does and does not do: effects of ultrasound viewing on women's intention to terminate a pregnancy",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"870","Sekabira H;Qaim M","Can mobile phones improve gender equality and nutrition? Panel data evidence from farm households in uganda",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"871","Semali L","Quest for economic empowerment of rural women entrepreneurs in tanzania: icts leapfrog the digital divide",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"872","Semo B;Frissa Sm","The mental health impact of the covid-19 pandemic: implications for sub-saharan africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"873","Senteio C;Murdock Pj","The efficacy of health information technology in supporting health equity for black and hispanic patients with chronic diseases: systematic review",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"systematic review"
